36.00 -15.00 Zomba
12.00 4.00 Yaounde
17.06 -22.50 Windhoek
-75.54 39.74 Wilmington
174.66 -41.31 Wellington
-77.01 38.89 Washington
21.01 52.24 Warsaw
103.00 19.00 Vientian
16.36 48.21 Vienna
55.28 -4.35 Victoria
114.00 22.50 Victoria
14.51 26.00 Valletta
10.19 36.79 Tunis
13.19 32.88 Tripoli
-74.77 40.22 Trenton
-79.41 43.66 Toronto
-95.65 39.05 Topeka
139.77 35.68 Tokyo
19.84 41.34 Tirane
89.50 27.50 Thimbu
51.41 35.69 Tehran
-87.21 14.10 Tegucigalpa
47.50 -19.00 Tananarive 
-84.26 30.43 Tallahassee
121.52 25.07 Taipei
151.21 -33.86 Sydney
178.43 -18.14 Suva
18.06 59.33 Stockholm
-57.87 -51.69 Stanley
-93.10 44.95 St_Paul
-90.20 38.63 St._Louis
-89.63 39.47 Springfield
23.31 42.69 Sofia
103.85 1.29 Singapore
126.98 37.58 Seoul
-81.09 32.08 Savannah
-69.90 18.47 Santo_Domingo
-70.67 -33.44 Santiago
8.50 4.00 Santa_Isabel
-106.94 35.69 Santa_Fe
-89.19 13.70 San_Salvador
-66.11 18.47 San_Juan
-84.07 9.93 San_Jose
-122.39 37.79 San_Francisco
-117.18 32.71 San_Diego
44.00 15.50 San_A
-111.88 40.77 Salt_Lake_City
31.06 -17.81 Salisbury
-123.51 44.95 Salem
-121.49 38.58 Sacramento
12.50 41.88 Rome
46.69 24.63 Riyadh
-77.44 37.54 Richmond
-21.96 64.15 Reykjavik
96.15 16.77 Rangoon
-78.60 34.79 Raleigh
-6.84 34.01 Rabat
-78.49 -0.19 Quito
121.00 14.80 Quezon
125.74 39.01 Pyongyang
-71.41 41.83 Providence
28.19 -25.74 Pretoria
14.43 50.09 Prague
147.10 -9.38 Port_Moresby
-72.30 18.40 Port-Au-Prince
-79.99 40.44 Pittsburgh
-100.34 44.37 Pierre
-112.07 33.45 Phoenix
104.88 11.54 Phnom_Penh
-75.16 39.95 Philadelphia
2.32 48.85 Paris
-55.17 5.83 Paramaribo
-149.57 -14.54 Papeete
-79.54 8.95 Panama
170.00 5.00 Pago_Pago
-2.00 12.50 Ouagadougu
-75.70 45.42 Ottawa
10.70 59.91 Oslo
-81.38 28.54 Orlando
-122.90 47.10 Olympia
-97.51 35.99 Oklahoma_City
-16.00 18.00 Nouakchott
-165.54 64.49 Nome
33.35 35.16 Nicosia
3.00 14.00 Niamey
-79.05 43.09 Niagara_Falls
-73.96 40.76 New_York
