 -9.52   150.53   IAMELELE                      D'Entrecasteaux_Is   Lava_domes          Holocene
 -9.62   150.88   DAWSON_STRAIT_GROUP           D'Entrecasteaux_Is   Volcanic_field      Hydration_Rind
 -3.125  152.642  LIHIR                         New_Ireland-SW_Pac   Volcanic_complex    Holocene
 -4.08   153.65   AMBITLE                       New_Ireland-SW_Pac   Stratovolcano       Radiocarbon
 -5.83   154.93   TORE                          Bougainville-SW_Pac  Lava_cone           Holocene
 -5.83   154.98   BALBI                         Bougainville-SW_Pac  Stratovolcano       Holocene
 -6.092  155.225  BILLY_MITCHELL                Bougainville-SW_Pac  Pyroclastic_shield  Radiocarbon
 -6.14   155.195  BAGANA                        Bougainville-SW_Pac  Lava_cone           Historical
 -6.442  155.608  TAKUAN_GROUP                  Bougainville-SW_Pac  Volcanic_complex    Holocene
 -6.52   155.62   LOLORU                        Bougainville-SW_Pac  Pyroclastic_shield  Radiocarbon
 -7.67   156.60   NONDA                         Solomon_Is-SW_Pac    Stratovolcano       Pleistocene-Fumarolic
 -8.292  156.52   SIMBO                         Solomon_Is-SW_Pac    Stratovolcano       Uncertain
 -8.75   157.03   KANA_KEOKI                    Solomon_Is-SW_Pac    Submarine_volcano   Holocene
 -8.83   157.17   COLEMAN_SEAMOUNT              Solomon_Is-SW_Pac    Submarine_volcano   Holocene
 -9.02   157.95   KAVACHI                       Solomon_Is-SW_Pac    Submarine_volcano   Historical
 -8.92   158.03   UNNAMED                       Solomon_Is-SW_Pac    Submarine_volcano   Holocene
 -9.35   159.73   GALLEGO                       Solomon_Is-SW_Pac    Volcanic_field      Holocene?
 -9.13   159.82   SAVO                          Solomon_Is-SW_Pac    Stratovolcano       Historical
-10.38   165.80   TINAKULA                      Santa_Cruz_Is-SW_Pac Stratovolcano       Historical
-13.67   167.67   MOTLAV                        Vanuatu-SW_Pacific   Stratovolcano       Holocene
-13.80   167.47   SORETIMEAT                    Vanuatu-SW_Pacific   Complex_volcano     Historical
-14.27   167.50   GAUA                          Vanuatu-SW_Pacific   Stratovolcano       Historical
-14.45   168.05   MERE_LAVA                     Vanuatu-SW_Pacific   Stratovolcano       Holocene
-15.40   167.83   AOBA                          Vanuatu-SW_Pacific   Shield_volcano      Anthropology
-16.25   168.12   AMBRYM                        Vanuatu-SW_Pacific   Stratovolcano       Historical
-16.507  168.346  LOPEVI                        Vanuatu-SW_Pacific   Stratovolcano       Historical
-16.68   168.37   EPI                           Vanuatu-SW_Pacific   Caldera             Historical
-16.73   168.28   TAVANI_KUTALI                 Vanuatu-SW_Pacific   Stratovolcanoes     Holocene?
-16.80   168.43   TAVAI_RURO                    Vanuatu-SW_Pacific   Stratovolcano       Holocene?
-16.829  168.536  KUWAE                         Vanuatu-SW_Pacific   Caldera             Historical
-16.992  168.592  UNNAMED                       Vanuatu-SW_Pacific   Stratovolcanoes     Holocene
-17.45   168.33   NORTH_VATE                    Vanuatu-SW_Pacific   Stratovolcanoes     Holocene
-18.75   169.23   TRAITOR'S_HEAD                Vanuatu-SW_Pacific   Stratovolcano       Historical
-19.52   169.425  YASUR                         Vanuatu-SW_Pacific   Stratovolcano       Historical
-20.20   169.83   ANEITYUM                      Vanuatu-SW_Pacific   Stratovolcanoes     Holocene?
-20.98   170.28   EASTERN_GEMINI_SEAMOUNT       SW_Pacific           Submarine_volcano   Historical
-22.33   171.32   MATTHEW_ISLAND                SW_Pacific           Stratovolcano       Historical
-22.40   172.05   HUNTER_ISLAND                 SW_Pacific           Stratovolcano       Historical
-25.78   168.63   UNNAMED                       SW_Pacific           Submarine_volcano   Hydrophonic
-37.77   142.50   NEWER_VOLCANICS_PROV          Australia            Shield_volcanoes    Radiocarbon
13.43     94.25   NARCONDUM                     Andaman_Is-Ind_O     Stratovolcano       Holocene
12.292    93.875  BARREN_ISLAND                 Andaman_Is-Ind_O     Stratovolcano       Historical
 5.88     95.33   PULAU_WEH                     Sumatra              Stratovolcano       Fumarolic
 5.425    95.60   SEULAWAH_AGAM                 Sumatra              Stratovolcano       Holocene
 4.925    96.33   PEUET_SAGUE                   Sumatra              Complex_volcano     Historical
 4.82     96.80   GEUREUDONG,_BUR_NI            Sumatra              Stratovolcano       Fumarolic
 4.77     96.808  TELONG,_BUR_NI                Sumatra              Stratovolcano       Historical
 3.87     97.60   GAYOLESTEN                    Sumatra              Fumarole_field      Fumarolic
 3.208    98.47   SIBAYAK                       Sumatra              Stratovolcano       Historical
 3.17     98.392  SINABUNG                      Sumatra              Stratovolcano       Fumarolic
 2.58     98.83   TOBA                          Sumatra              Caldera             Holocene
 2.03     98.93   HELATOBA-TARUTUNG             Sumatra              Fumarole_field      Fumarolic
 1.57     99.25   BUAL_BUALI                    Sumatra              Stratovolcano       Fumarolic
 0.687    99.537  SORIKMARAPI                   Sumatra              Stratovolcano       Historical
 0.47     99.67   MALITANG			Sumatra              Stratovolcano       Holocene
 0.079    99.982  TALAKMAU                      Sumatra              Complex_volcano     Holocene
 -0.38   100.471  MARAPI                        Sumatra              Complex_volcano     Historical
 -0.433  100.317  TANDIKAT                      Sumatra              Stratovolcano       Historical
 -0.978  100.679  TALANG                        Sumatra              Stratovolcano       Historical
 -1.692  101.27   KERINCI                       Sumatra              Stratovolcano       Historical
 -2.592  101.63   KUNYIT                        Sumatra              Stratovolcano       Fumarolic
 -2.27   101.60   HUTAPANJANG                   Sumatra              Stratovolcano       Holocene
 -2.42   101.73   SUMBING                       Sumatra              Stratovolcano       Historical
 -2.82   102.02   PENDAN                        Sumatra              Unknown             Holocene
 -2.82   102.18   BELIRANG-BERITI               Sumatra              Compound_volcano    Fumarolic
 -3.38   102.37   BUKIT_DAUN                    Sumatra              Stratovolcano       Fumarolic
 -3.52   102.62   KABA                          Sumatra              Stratovolcano       Historical
 -4.03   103.13   DEMPO                         Sumatra              Stratovolcano       Historical
 -4.27   103.30   PATAH                         Sumatra              Unknown             Uncertain
 -4.22   103.62   BUKIT_LUMUT_BALAI             Sumatra              Stratovolcano_?     Fumarolic
 -4.43   103.67   BESAR                         Sumatra              Stratovolcano_?     Historical
 -4.83   103.92   RANAU                         Sumatra              Caldera             Holocene?
 -5.12   104.32   SEKINCAU_BELIRANG             Sumatra              Caldera             Fumarolic
 -5.25   104.27   SUOH                          Sumatra              Maars               Historical
 -5.35   104.60   HULUBELU                      Sumatra              Caldera             Fumarolic
 -5.78   105.625  RAJABASA                      Sumatra              Stratovolcano       Fumarolic
 -6.102  105.423  KRAKATAU                      Indonesia            Caldera             Historical
 -6.20   105.97   DANAU_COMPLEX                 Java                 Caldera             Holocene
 -6.27   106.042  KARANG                        Java                 Stratovolcano       Fumarolic
 -6.342  105.975  PULOSARI			Java                 Stratovolcano       Holocene
 -6.75   106.68   PERBAKTI-GAGAK                Java                 Stratovolcanoes     Historical
 -6.72   106.73   SALAK                         Java                 Stratovolcano       Historical
 -6.78   106.98   GEDE                          Java                 Stratovolcano       Historical
 -7.15   107.37   PATUHA                        Java                 Stratovolcano       Holocene
 -7.208  107.63   WAYANG-WINDU                  Java                 Stratovolcano       Fumarolic
 -6.77   107.60   TANGKUBANPARAHU               Java                 Stratovolcano       Historical
 -7.32   107.73   PAPANDAYAN                    Java                 Stratovolcano       Historical
 -7.23   107.72   KENDANG                       Java                 Stratovolcano       Holocene
 -7.125  107.80   KAWAH_KAMOJANG                Java                 Fumarole_field      Fumarolic
 -7.13   107.83   GUNTUR                        Java                 Complex_volcano     Historical
 -6.77   107.95   TAMPOMAS                      Java                 Stratovolcano       Holocene
 -7.25   108.05   GALUNGGUNG                    Java                 Stratovolcano       Historical
 -7.208  108.07   TALAGABODAS                   Java                 Stratovolcano       Fumarolic
 -7.17   108.08   KAWAH_KARAHA                  Java                 Fumarole_field      Fumarolic
 -6.892  108.40   CEREME                        Java                 Stratovolcano       Historical
 -7.242  109.208  SLAMET                        Java                 Stratovolcano       Historical
 -7.20   109.92   DIENG_VOLC_COMPLEX            Java                 Complex_volcano     Historical
 -7.30   109.992  SUNDORO                       Java                 Stratovolcano       Historical
 -7.38   110.058  SUMBING                       Java                 Stratovolcano       Historical
 -7.18   110.33   UNGARAN                       Java                 Stratovolcano       Holocene
 -7.37   110.40   TELOMOYO                      Java                 Stratovolcano       Holocene
 -7.45   110.43   MERBABU                       Java                 Stratovolcano       Historical
 -7.542  110.442  MERAPI                        Java                 Stratovolcano       Historical
 -7.625  111.192  LAWU                          Java                 Stratovolcano       Holocene
 -7.808  111.758  WILIS                         Java                 Stratovolcano       Holocene
 -7.93   112.308  KELUT                         Java                 Stratovolcano       Historical
 -7.92   112.45   KAWI-BUTAK                    Java                 Stratovolcanoes     Holocene
 -7.725  112.58   ARJUNO-WELIRANG               Java                 Stratovolcano       Historical
 -7.62   112.63   PENANGGUNGAN                  Java                 Stratovolcano       Holocene
 -8.02   112.68   MALANG_PLAIN                  Java                 Maars               Holocene
 -8.108  112.92   SEMERU                        Java                 Stratovolcano       Historical
 -7.942  112.95   TENGGER_CALDERA               Java                 Stratovolcano       Historical
 -8.00   113.342  LAMONGAN                      Java                 Stratovolcano       Historical
 -7.70   113.58   LURUS                         Java                 Complex_volcano     Holocene?
 -7.97   113.57   IYANG-ARGAPURA                Java                 Complex_volcano     Holocene
 -8.125  114.042  RAUNG                         Java                 Stratovolcano       Historical
 -8.058  114.242  IJEN                          Java                 Stratovolcanoes     Historical
 -7.85   114.37   BALURAN                       Java                 Stratovolcano       Holocene?
 -8.28   115.13   BRATAN                        Lesser_Sunda_Is      Caldera             Holocene
 -8.242  115.375  BATUR                         Lesser_Sunda_Is      Caldera             Historical
 -8.342  115.508  AGUNG                         Lesser_Sunda_Is      Stratovolcano       Historical
 -8.42   116.47   RINJANI                       Lesser_Sunda_Is      Stratovolcano       Historical
 -8.25   118.00   TAMBORA                       Lesser_Sunda_Is      Stratovolcano       Historical
 -8.18   119.058  SANGEANG_API                  Lesser_Sunda_Is      Complex_volcano     Historical
 -8.52   119.35   GILIBANTA                     Lesser_Sunda_Is      Submarine_volcano_? Uncertain
 -8.68   120.025  WAI_SANO                      Lesser_Sunda_Is      Caldera             Fumarolic
 -8.68   120.48   POCO_LEOK                     Lesser_Sunda_Is      Unknown             Fumarolic
 -8.62   120.52   RANAKAH                       Lesser_Sunda_Is      Lava_domes          Historical
 -8.875  120.95   INIERIE                       Lesser_Sunda_Is      Stratovolcano       Fumarolic
 -8.73   120.98   INIELIKA                      Lesser_Sunda_Is      Complex_volcano     Historical
 -8.808  121.18   EBULOBO                       Lesser_Sunda_Is      Stratovolcano       Historical
 -8.88   121.63   IYA                           Lesser_Sunda_Is      Stratovolcano       Historical
 -8.792  121.77   SUKARIA_CALDERA               Lesser_Sunda_Is      Caldera             Fumarolic
 -8.72   121.78   NDETE_NAPU                    Lesser_Sunda_Is      Fumarole_field      Fumarolic
 -8.758  121.83   KELIMUTU                      Lesser_Sunda_Is      Complex_volcano     Historical
 -8.32   121.708  PALUWEH                       Lesser_Sunda_Is      Stratovolcano       Historical
 -8.67   122.45   EGON                          Lesser_Sunda_Is      Stratovolcano       Historical
 -8.478  122.671  ILIMUDA                       Lesser_Sunda_Is      Stratovolcano       Fumarolic
 -8.53   122.775  LEWOTOBI                      Lesser_Sunda_Is      Stratovolcanoes     Historical
 -8.358  122.842  LEREBOLENG                    Lesser_Sunda_Is      Complex_volcano     Historical
 -8.30   122.892  RIANG_KOTANG                  Lesser_Sunda_Is      Fumarole_field      Fumarolic
 -8.342  123.258  ILIBOLENG                     Lesser_Sunda_Is      Stratovolcano       Historical
 -8.272  123.505  LEWOTOLO                      Lesser_Sunda_Is      Stratovolcano       Historical
 -8.53   123.42   ILILABALEKAN                  Lesser_Sunda_Is      Stratovolcano       Fumarolic
 -8.54   123.59   ILIWERUNG                     Lesser_Sunda_Is      Complex_volcano     Historical
 -7.792  123.579  BATU_TARA                    Lesser_Sunda_Is      Stratovolcano       Historical
 -8.51   124.148  SIRUNG                        Lesser_Sunda_Is      Complex_volcano     Historical
 -7.53   123.95   YERSEY                        Lesser_Sunda_Is      Submarine_volcano_? Uncertain
 -6.62   124.22   EMPEROR_OF_CHINA              Banda_Sea            Submarine_volcano_? Uncertain
 -6.60   124.675  NIEUWERKERK                   Banda_Sea            Submarine_volcano_? Uncertain
 -6.642  126.65   GUNUNGAPI_WETAR               Banda_Sea            Stratovolcano       Historical
 -7.125  128.675  WURLALI                       Banda_Sea            Stratovolcano       Historical
 -6.92   129.125  TEON                          Banda_Sea            Stratovolcano       Historical
 -6.73   129.50   NILA                          Banda_Sea            Stratovolcano       Historical
 -6.30   130.00   SERUA                         Banda_Sea            Stratovolcano       Historical
 -5.53   130.292  MANUK                         Banda_Sea            Stratovolcano       Fumarolic
 -4.525  129.871  BANDA_API                     Banda_Sea            Caldera             Historical
 -0.17   121.608  COLO_[UNA_UNA]                Sulawesi-Indonesia   Stratovolcano       Historical
 0.75    124.42   AMBANG                        Sulawesi-Indonesia   Complex_volcano     Historical
 1.108   124.725  SOPUTAN                       Sulawesi-Indonesia   Stratovolcano       Historical
 1.142   124.73   SEMPU                         Sulawesi-Indonesia   Caldera             Fumarolic
 1.23    124.83   TONDANO_CALDERA               Sulawesi-Indonesia   Caldera             Fumarolic
 1.358   124.792  LOKON-EMPUNG                  Sulawesi-Indonesia   Stratovolcano       Historical
 1.358   124.858  MAHAWU                        Sulawesi-Indonesia   Stratovolcano       Historical
 1.47    125.03   KLABAT                        Sulawesi-Indonesia   Stratovolcano       Fumarolic
 1.52    125.20   TONGKOKO                      Sulawesi-Indonesia   Stratovolcano       Historical
 2.28    125.425  RUANG                         Sangihe_Is-Indonesia Stratovolcano       Historical
 2.78    125.48   KARANGETANG_[API_SIAU]        Sangihe              Stratovolcano       Historical
 3.138   125.491  BANUA_WUHU                    Sangihe_Is-Indonesia Submarine_volcano   Historical
 3.67    125.50   AWU                           Sangihe_Is-Indonesia Stratovolcano       Historical
 3.97    124.17   UNNAMED                       Sangihe_Is-Indonesia Submarine_volcano_? Uncertain
 1.83    127.83   TARAKAN                       Halmahera-Indonesia  Pyroclastic_cones   Holocene
 1.70    127.87   DUKONO                        Halmahera-Indonesia  Complex_volcano     Historical
 1.63    127.67   TOBARU                        Halmahera-Indonesia  Unknown             Holocene
 1.48    127.63   IBU                           Halmahera-Indonesia  Stratovolcano       Historical
 1.375   127.52   GAMKONORA                     Halmahera-Indonesia  Stratovolcano       Historical
 1.30    127.43   TODOKO-RANU                   Halmahera-Indonesia  Calderas            Fumarolic
 1.17    127.32   JAILOLO                       Halmahera-Indonesia  Stratovolcano       Holocene
 0.90    127.32   HIRI				Halmahera-Indonesia  Stratovolcano       Holocene
 0.80    127.325  GAMALAMA                      Halmahera-Indonesia  Stratovolcanoes     Historical
 0.658   127.40   TIDORE			Halmahera-Indonesia  Stratovolcano       Holocene
 0.57    127.40   MARE				Halmahera-Indonesia  Stratovolcano       Holocene
 0.45    127.40   MOTI                          Halmahera-Indonesia  Stratovolcano       Holocene
 0.32    127.40   MAKIAN                        Halmahera-Indonesia  Stratovolcano       Historical
 0.07    127.42   TIGALU			Halmahera-Indonesia  Stratovolcano       Holocene
 0.53    127.48   AMASING			Halmahera-Indonesia  Stratovolcanoes     Holocene
 0.77    127.72   BIBINOI			Halmahera-Indonesia  Stratovolcanoes     Holocene
 4.40    117.88   BOMBALAI                      Borneo               Cone                Holocene?
 6.013   121.057  JOLO                          Sulu_Is-Philippines  Pyroclastic_cones   Historical
 5.40    125.375  BALUT                         Mindanao-Philippines Stratovolcano       Holocene
 6.113   124.892  PARKER                        Mindanao-Philippines Stratovolcano       Holocene
 6.37    125.108  MATUTUM                       Mindanao-Philippines Stratovolcano       Holocene
 6.987   125.273  APO                           Mindanao-Philippines Stratovolcano       Fumarolic
 7.393   126.397  LEONARD_RANGE                 Mindanao-Philippines Stratovolcano       Holocene
 7.647   124.32   MAKATURING                    Mindanao-Philippines Stratovolcano       Holocene
 7.65    124.47   LATUKAN                       Mindanao-Philippines Stratovolcano       Holocene?
 7.67    124.50   RAGANG                        Mindanao-Philippines Stratovolcano       Historical
 7.95    124.80   KALATUNGAN                    Mindanao-Philippines Stratovolcano       Holocene?
 7.877   125.068  CALAYO                        Mindanao-Philippines Tuff_cone           Historical
 8.22    123.63   MALINDANG                     Mindanao-Philippines Stratovolcano       Holocene
 8.77    124.98   BALATUKAN                     Mindanao-Philippines Compound_volcano    Uncertain
 9.203   124.673  CAMIGUIN 	                Mindanao-Philippines Stratovolcanoes     Historical
 9.593   125.52   PACO                          Mindanao-Philippines Compound_volcano    Fumarolic
 9.258   123.175  CUERNOS_DE_NEGROS             Philippines-C        Stratovolcano       Holocene
10.412   123.132  KANALAON                      Philippines-C        Stratovolcano       Historical
10.615   123.22   MANDALAGAN                    Philippines-C        Stratovolcano       Holocene
10.77    123.23   SILAY                         Philippines-C        Stratovolcano       Holocene
10.287   125.22   CABALIAN                      Philippines-C        Stratovolcano       Holocene
10.872   124.853  MAHAGNAO                      Philippines-C        Stratovolcano       Fumarolic
11.523   124.534  BILIRAN                       Philippines-C        Compound_volcano    Historical
12.77    124.05   BULUSAN_                      Luzon-Philippines    Stratovolcano       Historical
13.05    123.958  POCDOL_MOUNTAINS              Luzon-Philippines    Compound_volcano    Holocene
13.257   123.685  MAYON                         Luzon-Philippines    Stratovolcano       Historical
13.32    123.60   MASARAGA                      Luzon-Philippines    Stratovolcano       Holocene
13.422   123.597  MALINAO                       Luzon-Philippines    Stratovolcano       Fumarolic
13.457   123.457  IRIGA                         Luzon-Philippines    Stratovolcano       Historical
13.658   123.37   ISAROG                        Luzon-Philippines    Stratovolcano       Holocene
14.02    122.792  LABO                          Luzon-Philippines    Compound_volcano    Holocene?
13.24    122.018  MALINDIG                      Luzon-Philippines    Stratovolcano_?     Hot_Springs
13.53    121.078  DAGIT-DAGITAN                 Luzon-Philippines    Stratovolcano       Pleistocene-Fumarolic
13.723   120.893  PANAY                         Luzon-Philippines    Stratovolcano       Pleistocene-Fumarolic
14.07    121.48   BANAHAW                       Luzon-Philippines    Complex_volcano     Holocene
14.12    121.30   SAN_PABLO_VOLC_FIELD          Luzon-Philippines    Stratovolcano       Anthropology
14.13    121.20   MAQUILING                     Luzon-Philippines    Stratovolcano       Holocene?
14.002   120.993  TAAL                          Luzon-Philippines    Stratovolcano       Historical
14.42    121.27   LAGUNA_CALDERA		Luzon-Philippines    Caldera		 Fumarolic
14.50    120.50   MARIVELES                     Luzon-Philippines    Stratovolcano       Radiocarbon
14.705   120.40   NATIB                         Luzon-Philippines    Stratovolcano       Holocene?
15.13    120.35   PINATUBO                      Luzon-Philippines    Stratovolcano       Historical
15.20    120.742  ARAYAT                        Luzon-Philippines    Stratovolcano       Holocene?
15.828   120.805  AMORONG                       Luzon-Philippines    Unknown             Fumarolic
16.33    120.55   SANTO_TOMAS                   Luzon-Philippines    Stratovolcano       Uncertain
17.147   120.98   PATOC                         Luzon-Philippines    Stratovolcano       Fumarolic
17.308   121.093  BINULUAN                      Luzon-Philippines    Compound_volcano    Fumarolic
17.32    121.10   AMBALATUNGAN_GROUP            Luzon-Philippines    Compound_volcano    Fumarolic
18.222   122.123  CAGUA                         Luzon-Philippines    Stratovolcano       Holocene
18.83    121.86   CAMIGUIN_DE_BABUYANES         Luzon-N_of           Stratovolcano       Historical
19.077   122.202  DIDICAS                       Luzon_Is-N_of        Compound_volcano    Historical
19.523   121.94   BABUYAN_CLARO                 Luzon_Is-N_of        Stratovolcanoes     Historical
20.33    121.75   UNNAMED                       Luzon_Is-N_of        Submarine_volcano   Historical
20.469   122.01   IRAYA                         Luzon_Is-N_of        Stratovolcano       Historical
19.70    110.10   HAINAN_DAO                    SE_Asia              Pyroclastic_cones   Historical
20.83    109.78   LEIZHOU_BANDAO                SE_Asia              Volcanic_field      Holocene
15.38    109.12   Cù-LAO_RÉ_GROUP               SE_Asia              Cones               Holocene
14.93    108.00   TOROENG_PRONG                 SE_Asia              Unknown             Holocene?
11.60    108.20   HAUT_DONG_NAI                 SE_Asia              Volcanic_field      Holocene?
10.80    107.20   BAS_DONG_NAI                  SE_Asia              Volcanic_field      Holocene?
10.158   109.014  ILE_DES_CENDRES               SE_Asia              Submarine_volcanoes Historical
 9.83    109.05   VETERAN                       SE_Asia              Submarine_volcano   Fumarolic
20.87     95.23   POPA                          SE_Asia              Stratovolcano       Anthropology
22.28     95.10   LOWER_CHINDWIN                SE_Asia              Volcanic_field      Holocene?
22.70     95.98   SINGU_PLATEAU                 SE_Asia              Fissure_vents       Holocene
25.32     98.47   TENGCHONG                     China-S              Pyroclastic_cones   Historical
20.93    134.75   UNNAMED                       Taiwan-E_of          Submarine_volcano_? Uncertain
19.17    132.25   UNNAMED                       Taiwan-E_of          Submarine_volcano   Uncertain
21.83    121.18   UNNAMED                       Taiwan-E_of          Submarine_volcano   Historical
24.00    121.83   UNNAMED                       Taiwan-E_of          Submarine_volcano   Historical
24.85    121.92   KUEI-SHAN-TAO                 Taiwan               Stratovolcano       Pleistocene-Fumarolic
25.17    121.52   TATUN_GROUP                   Taiwan               Stratovolcano       Pleistocene-Fumarolic
25.42    122.33   UNNAMED                       Taiwan-N_of          Submarine_volcano   Historical
25.63    122.07   PENG-CHIA-HSU                 Taiwan-N_of          Stratovolcano       Pleistocene-Fumarolic
26.18    122.458  ZENGYU                        Taiwan-N_of          Submarine_volcano   Historical
24.558   124.00   IRIOMOTE-JIMA                 Ryukyu_Is            Submarine_volcano   Historical
27.877   128.224  IWO-TORI-SHIMA                Ryukyu_Is            Complex_volcano     Historical
29.45    129.60   AKUSEKI-JIMA                  Ryukyu_Is            Stratovolcano       Holocene
29.53    129.72   SUWANOSE-JIMA                 Ryukyu_Is            Stratovolcano       Historical
29.85    129.87   NAKANO-SHIMA                  Ryukyu_Is            Stratovolcanoes     Historical
29.879   129.625  KOGAJA-JIMA  			Ryukyu_Is            Lava_domes          Holocene?
29.90    129.544  GAJA-JIMA  			Ryukyu_Is            Stratovolcano       Holocene?
29.97    129.93   KUCHINO-SHIMA                 Ryukyu_Is            Stratovolcanoes     Holocene
30.43    130.22   KUCHINOERABU-JIMA             Ryukyu_Is            Stratovolcanoes     Historical
30.78    130.28   KIKAI                         Ryukyu_Is            Caldera             Historical
31.22    130.57   IBUSUKI_VOLC_FIELD            Kyushu-Japan         Calderas            Historical
31.58    130.67   SAKURA-JIMA                   Kyushu-Japan         Stratovolcano       Historical
31.768   130.594  SUMIYOSHI-IKE                 Kyushu-Japan         Maars               Radiocarbon
31.93    130.87   KIRISHIMA                     Kyushu-Japan         Shield_volcano      Historical
32.653   128.851  FUKUE-JIMA                    Kyushu-Japan         Shield_volcano      Historical
32.75    130.30   UNZEN                         Kyushu-Japan         Complex_volcano     Historical
32.88    131.10   ASO                           Kyushu-Japan         Caldera             Historical
33.08    131.25   KUJU_GROUP                    Kyushu-Japan         Stratovolcanoes     Historical
33.28    131.43   TSURUMI                       Kyushu-Japan         Lava_domes          Historical
34.50    131.60   ABU                           Honshu-Japan         Shield_volcanoes    Holocene
35.13    132.62   SANBE                         Honshu-Japan         Caldera             Radiocarbon
36.17    133.33   OKI-DOGO                      Honshu-Japan         Shield_volcano      Anthropology
35.37    133.55   DAISEN                        Honshu-Japan         Stratovolcano       Holocene
35.50    134.68   KANNABE                       Honshu-Japan         Shield_volcano      Holocene
34.92    139.12   IZU-TOBU                      Honshu-Japan         Pyroclastic_cones   Historical
35.22    139.02   HAKONE                        Honshu-Japan         Complex_volcano     Radiocarbon
35.35    138.73   FUJI                          Honshu-Japan         Stratovolcano       Historical
36.10    138.30   TATESHINA                     Honshu-Japan         Stratovolcanoes     Holocene
35.90    137.48   ON-TAKE                       Honshu-Japan         Complex_volcano     Historical
36.15    136.78   HAKU-SAN_                     Honshu-Japan         Stratovolcano       Historical
36.12    137.55   NORIKURA                      Honshu-Japan         Stratovolcanoes     Holocene
36.22    137.58   YAKE-DAKE                     Honshu-Japan         Stratovolcano       Historical
36.57    137.60   TATE-YAMA                     Honshu-Japan         Stratovolcano       Historical
36.92    138.03   NIIGATA-YAKE-YAMA             Honshu-Japan         Lava_dome           Historical
36.88    138.12   MYOKO                         Honshu-Japan         Stratovolcano       Radiocarbon
36.80    138.13   KUROHIME                      Honshu-Japan         Stratovolcano       Holocene
36.73    138.13   IIZUNA                        Honshu-Japan         Stratovolcano       Holocene
36.40    138.53   ASAMA                         Honshu-Japan         Complex_volcano     Historical
36.62    138.55   KUSATSU-SHIRANE               Honshu-Japan         Stratovolcanoes     Historical
36.70    138.52   SHIGA                         Honshu-Japan         Shield_volcanoes    Holocene
36.47    138.88   HARUNA                        Honshu-Japan         Stratovolcano       Anthropology
36.53    139.18   AKAGI                         Honshu-Japan         Stratovolcano       Historical
36.95    139.28   HIUCHI                        Honshu-Japan         Stratovolcano       Holocene
36.80    139.38   NIKKO-SHIRANE                 Honshu-Japan         Shield_volcano      Historical
36.77    139.50   NANTAI                        Honshu-Japan         Stratovolcano       Holocene
36.78    139.50   OMANAGO_GROUP                 Honshu-Japan         Lava_domes          Holocene
36.90    139.78   TAKAHARA                      Honshu-Japan         Stratovolcano       Holocene
37.12    139.97   NASU                          Honshu-Japan         Stratovolcanoes     Historical
37.43    139.58   NUMAZAWA                      Honshu-Japan         Shield_volcano      Radiocarbon
37.60    140.08   BANDAI                        Honshu-Japan         Stratovolcano       Historical
37.62    140.28   ADATARA                       Honshu-Japan         Stratovolcanoes     Historical
37.73    140.25   AZUMA                         Honshu-Japan         Stratovolcanoes     Historical
38.15    140.45   ZAO                           Honshu-Japan         Complex_volcano     Historical
38.60    140.18   HIJIORI                       Honshu-Japan         Caldera             Radiocarbon
38.73    140.73   NARUGO                        Honshu-Japan         Lava_domes          Historical
38.95    140.78   KURIKOMA                      Honshu-Japan         Stratovolcano       Historical
39.08    140.03   CHOKAI                        Honshu-Japan         Stratovolcanoes     Historical
39.75    140.80   AKITA-KOMAGA-TAKE             Japan                Stratovolcanoes     Historical
39.85    141.00   IWATE                         Honshu-Japan         Complex_volcano     Historical
39.95    140.85   HACHIMANTAI                   Honshu-Japan         Stratovolcano       Holocene
39.97    140.77   AKITA-YAKE-YAMA               Honshu-Japan         Complex_volcano     Historical
39.93    139.88   KANPU                         Honshu-Japan         Lava_dome           Holocene
39.95    139.73   MEGATA                        Honshu-Japan         Maars               Tephrochronology
40.65    140.30   IWAKI                         Honshu-Japan         Stratovolcano       Historical
40.47    140.92   TOWADA                        Honshu-Japan         Stratovolcano       Historical
40.65    140.88   HAKKODA_GROUP                 Honshu-Japan         Stratovolcanoes     Holocene
41.32    141.08   OSORE-YAMA                    Honshu-Japan         Stratovolcano       Historical
41.43    141.07   MUTSU-HIUCHI-DAKE             Honshu-Japan         Stratovolcano       Fumarolic
34.73    139.38   OSHIMA                        Izu_Is-Japan         Stratovolcano       Historical
34.52    139.28   TO-SHIMA                      Izu_Is-Japan         Stratovolcano       Holocene?
34.37    139.27   NII-JIMA                      Izu_Is-Japan         Lava_domes          Historical
34.22    139.15   KOZU-SHIMA                    Izu_Is-Japan         Lava_domes          Historical
34.08    139.53   MIYAKE-JIMA                   Izu_Is-Japan         Stratovolcano       Historical
33.40    139.68   KUROSE_HOLE                   Izu_Is-Japan         Submarine_volcano   Holocene
33.13    139.77   HACHIJO-JIMA                  Izu_Is-Japan         Stratovolcanoes     Historical
32.45    139.77   AOGA-SHIMA                    Izu_Is-Japan         Stratovolcano       Historical
31.92    139.92   BAYONNAISE_ROCKS              Izu_Is-Japan         Submarine_volcano   Historical
31.32    140.05   SMITH_ROCK                    Izu_Is-Japan         Submarine_volcano   Historical
30.48    140.32   TORI-SHIMA                    Izu_Is-Japan         Stratovolcano       Historical
29.789   140.345  SOFUGAN                       Izu_Is-Japan         Stratovolcano       Uncertain
