> 5 NORTH AMERICA/AFRICA
-31.4735	39.4239	3
-31.9098	38.5294	2
-32.0539	38.5243	2
-32.4510	37.7771	2
-32.7829	37.8054	2
-32.9006	37.4682	2
-34.1052	37.7067	2
-34.2467	37.3067	2
-34.4086	37.3244	2
-34.5235	36.9102	2
-34.6105	36.9167	2
-34.7582	36.6311	2
-35.0044	36.6741	2
-35.1696	36.4236	2
-35.4334	35.7870	2
-35.7846	35.8423	2
-36.0452	35.1865	2
-37.3155	35.4212	2
-37.5030	34.8128	2
-38.1005	34.9110	2
-38.2903	34.2813	2
-38.6342	34.3481	2
-38.9545	33.6687	2
-39.0175	33.6742	2
-40.5967	33.9342	2
-40.9992	33.2991	2
-40.8193	33.2554	2
-42.2252	31.3635	2
-42.3692	31.3859	2
-42.6680	30.9777	2
-42.7996	30.9925	2
-43.4238	30.1830	2
-43.8510	30.2437	2
-44.1224	29.6111	2
-44.2844	29.6385	2
-44.6333	28.9753	2
-44.9326	29.0296	2
-46.0648	26.1893	2
-46.1510	26.1906	2
-46.5140	25.3778	2
-46.8672	25.4339	2
-47.1427	24.7291	2
-47.4557	24.7885	2
-47.7028	24.0875	2
-46.4598	23.8089	2
-46.5242	22.8005	2
-46.5619	22.7990	2
-46.6289	22.0024	2
-46.9453	22.0515	2
-47.2265	20.8610	2
-46.9169	20.7843	2
-47.1052	19.9711	2
-47.1427	19.9796	2
-47.2609	19.0877	2
-47.4180	18.5424	2
-47.5025	18.5565	2
-47.6935	17.7867	2
-47.6407	17.7714	2
-48.0993	15.6894	2
> 5 NORTH AMERICA/ROCKALL
-36.5332	56.1558	3
-36.9244	55.7584	2
-37.2339	55.4055	2
-37.3792	55.1411	2
-37.1343	52.6642	2
-32.0330	52.4556	2
> 5 NORTH AMERICA/EURASIA
-31.900	52.198	3
-31.874	51.552	2
-31.478	51.291	2
-30.998	50.629	2
-30.502	50.232	2
-30.204	49.798	2
-29.264	48.635	2
-29.137	48.194	2
-28.862	47.629	2
-28.836	47.431	2
-28.868	47.261	2
-28.899	46.594	2
-28.931	46.497	2
-28.994	46.362	2
-29.205	46.063	2
-29.231	45.864	2
-29.297	45.698	2
